EDA,TEMP,HR, IBI,EDA,TEMP,HR, IBI,EDA,TEMP,HR, IBI
0.002562,22.99,105.63,0.734409,0.0,22.43,147.58,0.390643,0.0,22.25,180.98,0.76566
0.002562,22.99,105.97,0.796911,0.0,22.43,147.42,0.390643,0.0,22.25,180.78,0.812537
0.002562,22.99,106.37,0.734409,0.0,22.43,147.18,0.343766,0.0,22.25,180.62,0.76566
0.001281,23.03,106.75,0.750034,0.0,22.43,147.0,0.828163,0.0,22.25,180.43,0.65628
0.005124,23.03,107.12,0.828163,0.0,22.43,146.78,0.390643,0.0,22.25,180.15,0.734409
0.0,23.03,107.48,0.578151,0.0,22.43,146.58,0.781286,0.0,22.25,179.88,0.734409
0.002562,23.03,107.85,0.609403,0.0,22.43,146.42,0.671906,0.0,22.25,179.82,0.859414
0.001281,23.03,108.18,0.625029,0.0,22.43,146.18,0.343766,0.0,22.29,179.8,0.812537
0.001281,23.03,108.02,0.671906,0.0,22.43,145.93,0.593777,0.0,22.29,180.03,0.65628
0.0,23.03,107.9,0.671906,0.0,22.43,145.7,0.312514,0.0,22.29,180.27,0.812537
0.0,23.03,107.75,0.718783,0.0,22.43,145.65,0.5469,0.0,22.29,180.45,0.796911
0.0,23.05,107.58,0.750034,0.0,22.43,145.6,0.390643,0.0,22.29,180.58,0.843789
0.002562,23.05,107.28,0.781286,0.0,22.43,145.53,0.484397,0.0,22.29,180.72,0.750034
0.001281,23.05,106.98,0.687531,0.0,22.43,145.5,0.593777,0.0,22.29,180.87,0.734409
0.002562,23.05,106.67,0.609403,0.0,22.43,145.48,0.531274,0.0,22.29,181.02,0.734409
0.002562,23.03,106.28,0.687531,0.0,22.43,145.47,0.578151,0.001281,22.29,181.12,0.625029
0.002562,23.03,106.12,0.687531,0.0,22.43,145.45,0.484397,0.0,22.29,181.18,0.750034
0.0,23.03,105.95,0.750034,0.0,22.43,145.32,0.671906,0.0,22.29,181.25,0.718783
0.001281,23.03,105.82,0.671906,0.0,22.43,145.23,0.703157,0.0,22.29,181.35,0.828163
0.0,23.05,105.63,0.65628,0.0,22.43,145.15,0.5469,0.0,22.03,181.43,0.703157
0.001281,23.05,105.57,0.671906,0.0,22.43,145.08,0.578151,0.0,22.03,181.52,0.859414
0.001281,23.05,105.35,0.562526,0.0,22.43,145.0,0.515649,0.0,22.03,181.7,0.781286
0.002562,23.05,105.07,0.640654,0.0,22.43,144.9,0.421894,0.0,22.03,181.92,0.828163
0.001281,23.07,104.43,0.593777,0.0,22.45,144.73,0.578151,0.0,22.05,182.18,0.828163
0.002562,23.07,103.08,0.640654,0.0,22.45,144.58,0.593777,0.0,22.05,182.42,0.796911
0.002562,23.07,102.6,0.625029,0.0,22.45,144.4,0.484397,0.0,22.05,182.73,0.750034
0.002562,23.07,102.13,0.609403,0.0,22.45,144.18,0.531274,0.0,22.05,183.05,0.859414
0.001281,23.11,101.7,0.671906,0.0,22.45,143.98,0.453146,0.0,22.03,183.48,0.812537
0.0,23.11,101.2,0.703157,0.0,22.45,143.77,0.562526,0.0,22.03,183.87,0.734409
0.0,23.11,100.68,0.781286,0.0,22.45,143.53,0.562526,0.0,22.03,184.22,0.734409
0.0,23.11,99.97,0.578151,0.0,22.45,143.33,0.515649,0.0,22.03,184.62,0.750034
0.0,22.93,99.25,0.640654,0.0,22.43,143.12,0.609403,0.0,22.05,184.93,0.734409
0.0,22.93,98.5,0.671906,0.0,22.43,142.9,0.609403,0.0,22.05,185.23,0.781286
0.002562,22.93,97.78,0.781286,0.0,22.43,142.67,0.5469,0.0,22.05,185.53,0.703157
